Product,Category,Country,Reported packaging type,Sample size (n),Summarized findings (ng/serving),Compounds tested,Phthalates (ng/serving),Phthalate substitutes (ng/serving),Bisphenols (ng/serving),Author,Title,Published,Reporting format,Mean DBP (ng/g),Mean BBP (ng/g),Mean DEHP (ng/g),Mean DINP (ng/g),Mean DIDP (ng/g),Mean DMP (ng/g),Mean DEP (ng/g),Mean DIBP (ng/g),Mean DNHP (ng/g),Mean DCHP (ng/g),Mean DNOP (ng/g),Mean DIDA (ng/g),Mean DEHA (ng/g),Mean DINCH (ng/g),Mean DEHT (ng/g),Mean BPA (ng/g),Mean BPS (ng/g),Mean BPF (ng/g),Serving size (g),Notes,Avg individual phthalate amount (ng/serving),Avg individual phthalate substitute amount (ng/serving),Avg individual bisphenol amount (ng/serving),Phthalates (n),Phthalate substitutes (n),Bisphenols (n)
Brisk iced tea lemon,Beverages,USA,Can,2-3,"7,467 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",7467,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,747,,,10,0,0
Coca-Cola original,Beverages,USA,Plastic,2-3,"6,167 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6167,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,617,,,10,0,0
Lipton diet green tea citrus,Beverages,USA,Plastic,2-3,"4,433 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4433,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,443,,,10,0,0
Poland Spring 100% natural spring water,Beverages,USA,Plastic,2-3,"4,217 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4217,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,422,,,10,0,0
Juicy Juice 100% juice apple,Beverages,USA,Plastic,2-3,"3,348 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",3348,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,335,,,10,0,0
Pepsi cola,Beverages,USA,Can,2-3,"2,938 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2938,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,294,,,10,0,0
Juicy Juice 100% juice apple,Beverages,USA,Cardboard box,2-3,"2,260 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2260,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,226,,,10,0,0
Gatorade frost thirst quencher glacier freeze,Beverages,USA,Plastic,2-3,"1,752 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1752,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,175,,,10,0,0
Polar seltzer raspberry lime,Beverages,USA,Can,2-3,0 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",0,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,0,,,10,0,0
Hormel chili with beans,Canned beans,USA,Can,2-3,"9,847 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",9847,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,985,,,10,0,0
Bush's chili red beans mild chili sauce,Canned beans,USA,Can,2-3,"6,405 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6405,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,641,,,10,0,0
Great Value (Walmart) baked beans original,Canned beans,USA,Can,2-3,"6,184 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6184,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,618,,,10,0,0
Bush's baked beans original,Canned beans,USA,Can,2-3,"3,709 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",3709,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,371,,,10,0,0
Mrs. Butterworth's syrup original,Condiments,USA,Plastic,2-3,"1,010 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1010,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,101,,,10,0,0
Hunt's tomato ketchup,Condiments,USA,Plastic,2-3,574 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",574,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,57,,,10,0,0
Sweet Baby Ray's barbecue sauce original,Condiments,USA,Plastic,2-3,22 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",22,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,2,,,10,0,0
Fairlife core power high protein milk shake chocolate,Dairy,USA,Plastic,2-3,"20,452 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",20452,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,2045,,,10,0,0
SlimFast high protein meal replacement shake creamy chocolate,Dairy,USA,Plastic,2-3,"16,916 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",16916,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,1692,,,10,0,0
Yoplait original low fat yogurt french vanilla,Dairy,USA,Plastic,2-3,"10,948 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",10948,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,1095,,,10,0,0
Tuscan Dairy Farms whole milk,Dairy,USA,Plastic,2-3,"10,932 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",10932,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,1093,,,10,0,0
Ben & Jerry's ice cream vanilla,Dairy,USA,Paperboard carton,2-3,"6,387 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6387,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,639,,,10,0,0
Wholesome Pantry (Shoprite) organic whole milk,Dairy,USA,Carton,2-3,"4,620 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4620,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,462,,,10,0,0
Great Value (Walmart) ice cream homestyle vanilla,Dairy,USA,Paperboard,2-3,"3,068 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",3068,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,307,,,10,0,0
Jell-O pudding snacks original chocolate,Dairy,USA,Plastic,2-3,"1,756 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1756,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,176,,,10,0,0
Sargento sliced natural cheddar cheese sharp,Dairy,USA,Plastic,2-3,"1,481 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1481,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,148,,,10,0,0
Land O'Lakes butter salted,Dairy,USA,Paper wrap/cardboard,2-3,581 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",581,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,58,,,10,0,0
Wendy's crispy chicken nuggets,Fast food,USA,Paperboard,2-3,"33,980 ng/serving for 10 phthalates
133,330 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",33980,133330,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,3398,44443,,10,3,0
Moe's Southwest Grill chicken burrito,Fast food,USA,Aluminum foil,2-3,"24,330 ng/serving for 10 phthalates
7,813,659 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",24330,7813659,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,2433,2604553,,10,3,0
Chipotle chicken burrito,Fast food,USA,Aluminum foil,2-3,"20,579 ng/serving for 10 phthalates
109,817 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",20579,109817,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,2058,36606,,10,3,0
Burger King Whopper with cheese,Fast food,USA,Paper,2-3,"20,167 ng/serving for 10 phthalates
1,546,529 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",20167,1546529,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,2017,515510,,10,3,0
Burger King chicken nuggets,Fast food,USA,Paper bag,2-3,"19,782 ng/serving for 10 phthalates
130,821 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",19782,130821,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,1978,43607,,10,3,0
Wendy's Dave's Single with cheese,Fast food,USA,Aluminum foil/paper wrap,2-3,"19,520 ng/serving for 10 phthalates
2,973,073 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",19520,2973073,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,1952,991024,,10,3,0
McDonald's Quarter Pounder with cheese,Fast food,USA,Cardboard,2-3,"9,956 ng/serving for 10 phthalates
13,869 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",9956,13869,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,996,4623,,10,3,0
Wendy's natural-cut french fries,Fast food,USA,Paperboard,2-3,"8,876 ng/serving for 10 phthalates
107,002 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",8876,107002,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,888,35667,,10,3,0
Burger King classic french fries,Fast food,USA,Paperboard,2-3,"8,512 ng/serving for 10 phthalates
166,224 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",8512,166224,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,851,55408,,10,3,0
McDonald's chicken McNuggets,Fast food,USA,Cardboard,2-3,"8,030 ng/serving for 10 phthalates
387,801 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",8030,387801,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,803,129267,,10,3,0
Little Caesars classic cheese pizza,Fast food,USA,Cardboard box,2-3,"5,703 ng/serving for 10 phthalates
581,510 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",5703,581510,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,570,193837,,10,3,0
McDonald's french fries,Fast food,USA,Paperboard,2-3,"5,538 ng/serving for 10 phthalates
1,270,534 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",5538,1270534,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,554,423511,,10,3,0
McDonald's Quarter Pounder hamburger patty,Fast food,USA,Varied,2-3,"5,428 ng/serving for 10 phthalates
6,931 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",5428,6931,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,543,2310,,10,3,0
Taco Bell chicken burrito,Fast food,USA,Paper wrap,2-3,"4,720 ng/serving for 10 phthalates
359,688 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",4720,359688,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,472,119896,,10,3,0
Domino's hand tossed cheese pizza,Fast food,USA,Cardboard box,2-3,"4,356 ng/serving for 10 phthalates
4,152 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",4356,4152,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,436,1384,,10,3,0
Wendy's Dave's Single hamburger patty,Fast food,USA,Varied,2-3,"3,629 ng/serving for 10 phthalates
193,407 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",3629,193407,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,363,64469,,10,3,0
Burger King Whopper hamburger patty,Fast food,USA,Varied,2-3,"2,870 ng/serving for 10 phthalates
135,325 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",2870,135325,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,287,45108,,10,3,0
Pizza Hut original cheese pan pizza,Fast food,USA,Cardboard box,2-3,"2,718 ng/serving for 10 phthalates
417,436 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",2718,417436,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,272,139145,,10,3,0
General Mills Cheerios original,Grain,USA,Paperboard box with plastic bag inside,2-3,"10,980 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",10980,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,1098,,,10,0,0
Success 10 minute boil-in-bag white rice,Grain,USA,Paperboard box with plastic bag inside,2-3,"4,308 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4308,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,431,,,10,0,0
Pepperidge Farm farmhouse hearty white bread,Grain,USA,Plastic bag,2-3,"2,184 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2184,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,218,,,10,0,0
Gerber mealtime for baby harvest turkey dinner,Baby food,USA,Glass with lined lid,2-3,"4,267 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4267,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,427,,,10,0,0
Similac advance infant milk-based powder formula,Baby food,USA,Can,2-3,"4,202 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4202,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,420,,,10,0,0
"Beech-Nut Fruities pouch pear, banana & raspberries",Baby food,USA,Pouch,2-3,"2,826 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2826,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,283,,,10,0,0
Gerber cereal for baby rice,Baby food,USA,Plastic,2-3,"1,599 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1599,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,160,,,10,0,0
Happy Baby organics clearly crafted banana & strawberries,Baby food,USA,Glass with lined lid,2-3,"1,300 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1300,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,130,,,10,0,0
Happy Baby organic milk-based infant powder formula with iron,Baby food,USA,Plastic,2-3,977 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",977,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,98,,,10,0,0
Gerber organic for baby pouch apple zucchini spinach strawberry,Baby food,USA,Pouch,2-3,706 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",706,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,71,,,10,0,0
Perdue ground chicken breast,Meat and poultry,USA,Plastic,2-3,"9,985 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",9985,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,999,,,10,0,0
Trader Joe's ground pork 80% lean 20% fat,Meat and poultry,USA,Plastic wrap,2-3,"5,503 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",5503,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,550,,,10,0,0
Premio Foods sweet italian sausage,Meat and poultry,USA,Foam tray with plastic wrap,2-3,"4,725 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4725,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,473,,,10,0,0
Libby's corned beef,Meat and poultry,USA,Can,2-3,"4,088 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4088,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,409,,,10,0,0
Bar S chicken jumbo franks,Meat and poultry,USA,Plastic,2-3,"3,295 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",3295,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,330,,,10,0,0
Stop & Shop ground beef 80% lean 20% fat,Meat and poultry,USA,Foam tray with plastic wrap,2-3,"2,729 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2729,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,273,,,10,0,0
Applegate Naturals oven roasted turkey breast,Meat and poultry,USA,Plastic,2-3,"2,295 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2295,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,230,,,10,0,0
Swanson white premium chunk chicken breast,Meat and poultry,USA,Can,2-3,"1,376 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1376,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,138,,,10,0,0
Johnsonville smoked sausage beef hot links,Meat and poultry,USA,Plastic,2-3,912 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",912,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,91,,,10,0,0
Del Monte sliced peaches in 100% fruit juice,Fruits and vegetables,USA,Can,2-3,"24,928 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",24928,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,2493,,,10,0,0
Green Giant cream style sweet corn,Fruits and vegetables,USA,Can,2-3,"7,603 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",7603,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,760,,,10,0,0
Del Monte fresh cut italian green beans,Fruits and vegetables,USA,Can,2-3,"5,264 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",5264,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,526,,,10,0,0
Progresso vegetable classics vegetable soup,Fruits and vegetables,USA,Can,2-3,"2,888 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2888,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,289,,,10,0,0
Birds Eye steamfresh cut green beans,Fruits and vegetables,USA,Plastic bag,2-3,907 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",907,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,91,,,10,0,0
Hunt's tomato sauce,Fruits and vegetables,USA,Can,2-3,680 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",680,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,68,,,10,0,0
